time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
1.57,Terrain0,hrp2[RLEG_JOINT5],10,-0.180590470358,-0.0742584025885,-0.000540082109014,-3.78842154577e-15,-9.43945235259e-17,-1.0,85.585469531,17.5762153936,331.417417874,-0.00317093902731,-0.00475753009881,-2.40926645965
1.57,Terrain0,hrp2[LLEG_JOINT5],11,0.238739189042,0.128709276813,-8.67043674734e-05,4.93572299882e-15,0.0,-1.0,-84.5407212415,-15.5079814017,217.711206147,-0.00189687311816,-0.00184462449846,-6.67519017107
1.59,Terrain0,hrp2[RLEG_JOINT5],11,-0.21850431647,-0.0739527275738,-0.000388580763214,-7.09321177428e-16,-2.68288293267e-16,-1.0,84.7948502873,17.3390467691,323.940701043,-0.00932136935139,-0.00438321288749,-3.25597361907
1.59,Terrain0,hrp2[LLEG_JOINT5],10,0.250674665683,0.132851731348,-8.84415896755e-05,-3.50578089765e-15,2.80274939102e-16,-1.0,-86.8273928391,-16.2321554264,223.515735443,-0.000911979805039,-0.00124421563376,-5.85901903787
1.61,Terrain0,hrp2[RLEG_JOINT5],10,-0.18134252381,-0.0706392246606,-0.000716422991147,0.0,0.0,-1.0,88.5278527607,21.0795203339,338.048757499,-0.00559405140523,-0.00205633853658,-3.22361648981
1.61,Terrain0,hrp2[LLEG_JOINT5],11,0.258429456359,0.137993585778,-0.000101575351983,-2.1715273162e-15,1.14381548335e-15,-1.0,-92.5083841609,-17.1679190222,237.389759726,-0.000111293282275,-0.000359558193961,-6.40329487212
1.63,Terrain0,hrp2[RLEG_JOINT5],10,-0.181276828997,-0.0569686742485,-0.000665367467372,-1.99099112734e-14,-4.64962933549e-15,-1.0,84.3358494467,17.4690418462,325.005303312,-0.00303104513472,-0.00571943736794,-3.07043541776
1.63,Terrain0,hrp2[LLEG_JOINT5],11,0.238874581884,0.134006994788,-8.94115957945e-05,-5.91641052e-16,8.37684744544e-16,-1.0,-88.0415590131,-16.5751200608,229.282557906,8.7466749131e-05,-0.000330688848162,-5.98568978419
1.65,Terrain0,hrp2[RLEG_JOINT5],10,-0.181372794179,-0.0511697585733,-0.000612019477872,0.0,-6.79041690023e-16,-1.0,85.5033151426,16.3428134333,330.110548317,-0.000758394214872,-0.0049926781517,-2.56167423233
1.65,Terrain0,hrp2[LLEG_JOINT5],11,0.259054828694,0.125594957244,-7.66815048866e-05,0.0,-1.12236937173e-15,-1.0,-84.6741670971,-15.8464116791,218.942687291,3.2125368655e-05,-0.00067034286001,-6.64692493775
